id;name;description;price;item_size;stock;image_url;date_created;product_category_id;store_id
1;Steel;Assistant;57374;XXL;38757;Principal;2022-09-01T12:48:40;1;1
2;wireless Handmade;Dynamic Pound withdrawal;88209;XL;8294;Centers Metal navigating;2022-09-01T07:20:55;2;2
3;Incredible Korea;compressing withdrawal green;70316;L;18327;Lao;2022-09-01T14:14:04;3;3
4;Small digital Oklahoma;orange Practical;80588;XXL;35518;Dynamic Sports;2022-09-01T00:29:54;4;4
5;Personal Steel;solutions;27331;L;66238;Rubber Chips;2022-09-01T15:51:06;5;5
6;Shoes;Ball pixel;28408;XL;78380;Renminbi rich South;2022-08-31T23:33:06;6;6
7;project hacking efficient;mobile metrics;95618;S;94541;application grey solution;2022-08-31T23:12:22;7;7
8;systems Gorgeous;Brand;64809;S;27583;Cambridgeshire Chair;2022-09-01T13:35:32;8;8
9;Operations Chicken;Usability multi-byte;34414;S;62245;IB;2022-09-01T08:32:51;9;9
10;Industrial Concrete;Pants bypassing Chief;26258;L;92380;online Home Vista;2022-09-01T08:54:23;10;10
