id;name;description;date_created;store_id
1;firmware;Soft proactive front-end;2022-09-01T19:33:35;1
2;Representative capacitor cross-platform;Clothing Bike circuit;2022-09-01T17:46:33;2
3;Cotton tan;Puerto;2022-09-01T16:50:20;3
4;Berkshire Palau Games;deposit Seamless tan;2022-09-01T02:37:39;4
5;virtual;calculating;2022-09-01T17:45:25;5
6;Utah Universal reintermediate;Jersey payment Advanced;2022-08-31T23:35:21;6
7;transmit Grocery Grocery;Islands;2022-08-31T23:51:03;7
8;Ohio;Guernsey;2022-09-01T13:19:20;8
9;Licensed;SDD calculating;2022-09-01T11:14:27;9
10;olive deposit;Nevada Buckinghamshire;2022-09-01T03:11:58;10
