id;name;description;status;date_created
1;Gloves Sum Serbia;Chair;INACTIVE;2022-08-31T23:00:02
2;infomediaries open-source generation;Saint Buckinghamshire solutions;ACTIVE;2022-08-31T15:03:40
3;transmit;calculating Kina;INACTIVE;2022-08-31T01:31:13
4;Rubber Street invoice;Technician Ramp granular;INACTIVE;2022-08-31T08:48:23
5;copying;cross-platform Planner;INACTIVE;2022-08-31T07:28:11
6;user;users;ACTIVE;2022-08-31T04:09:18
7;Trinidad North;product payment Concrete;INACTIVE;2022-08-31T14:23:30
8;system-worthy;functionalities Investor Ramp;ACTIVE;2022-08-31T00:40:23
9;Gorgeous Berkshire Alabama;Carolina;INACTIVE;2022-08-31T21:21:57
10;navigate Internal Kwacha;index;ACTIVE;2022-08-31T08:04:32
